date,description,amount,category
2024-04-19,Resort Fees,-551.24,Travel
2024-04-22,Cox Communications,-112.23,Utilities
2024-05-09,Waste Management,-60.57,Utilities
2024-05-28,United Airlines,-423.29,Travel
2024-06-05,Vacation Rental,-1974.51,Travel
2024-06-10,Cruise Line,-414.54,Travel
2024-06-25,Travelocity,-1480.67,Travel
2024-06-29,Southwest Airlines,-148.35,Travel
2024-07-02,Airbnb,-1451.95,Travel
2024-07-03,VRBO,-1444.21,Travel
2024-07-04,DirecTV,-285.44,Utilities
2024-07-04,Marriott,-393.39,Travel
2024-07-08,Comcast,-84.66,Utilities
2024-07-11,Water Service,-162.74,Utilities
2024-08-01,Cruise Line,-1274.18,Travel
2024-08-04,Xfinity,-76.33,Utilities
2024-08-06,Spectrum,-94.97,Utilities
2024-08-06,Hilton,-867.6,Travel
2024-08-12,Vacation Rental,-1170.57,Travel
2024-08-18,Hilton,-1534.54,Travel
2024-08-22,American Airlines,-596.26,Travel
2024-08-24,Comcast,-262.97,Utilities
2024-08-30,Travel Agency,-286.5,Travel
2024-09-21,Vacation Rental,-611.75,Travel
2024-09-23,Water Service,-223.72,Utilities
2024-09-29,Southwest Airlines,-1132.0,Travel
2024-10-04,American Airlines,-1885.75,Travel
2024-10-28,Xfinity,-77.21,Utilities
2024-11-09,Delta Airlines,-1199.52,Travel
2024-11-24,DirecTV,-126.86,Utilities
2024-12-12,Solar City,-204.69,Utilities
2024-12-12,Xfinity,-50.94,Utilities
2025-01-02,Booking.com,-1362.63,Travel
2025-01-10,PG&E,-203.61,Utilities
2025-01-11,Hilton,-1280.43,Travel
2025-01-29,Duke Energy,-233.84,Utilities
2025-02-01,Solar City,-168.26,Utilities
2025-02-02,Travel Insurance,-1538.76,Travel
2025-02-05,Vacation Rental,-164.07,Travel
2025-02-21,Gas Bill,-294.3,Utilities
2025-02-27,Hotels.com,-1297.65,Travel
2025-03-03,ConEd,-251.66,Utilities
2025-03-03,Resort Fees,-809.07,Travel
2025-03-08,T-Mobile,-217.93,Utilities
2025-03-31,Transfer to Savings,-0.0,Savings
2024-05-22,Seed Funding,374748,Funding
2024-12-05,Angel Investment,136418,Funding
2024-04-15,Tech Team Payroll,-18066,Payroll
2024-05-15,Tech Team Payroll,-23361,Payroll
2024-06-15,Tech Team Payroll,-18961,Payroll
2024-07-15,Tech Team Payroll,-18163,Payroll
2024-08-15,Tech Team Payroll,-20469,Payroll
2024-09-15,Tech Team Payroll,-21210,Payroll
2024-10-15,Tech Team Payroll,-23744,Payroll
2024-11-15,Tech Team Payroll,-24898,Payroll
2024-12-15,Tech Team Payroll,-20621,Payroll
2025-01-15,Tech Team Payroll,-22494,Payroll
2025-02-15,Tech Team Payroll,-23356,Payroll
2025-03-15,Tech Team Payroll,-24167,Payroll
2024-05-01,AWS Cloud Services,-2819,Software
2024-05-01,GitHub Enterprise,-465,Software
2024-05-01,Atlassian Suite,-278,Software
2024-05-01,Slack Enterprise,-373,Software
2024-05-01,GSuite Business,-210,Software
2024-05-01,Analytics Platform,-583,Software
2024-05-01,CRM Software,-472,Software
2024-05-01,Design Software Licenses,-186,Software
2024-05-01,Coworking Space Rent,-2092,Rent
2024-05-01,Legal Services,-1950,Legal
2024-05-01,Digital Marketing Campaign,-3039,Marketing
2024-05-01,Recruitment Services,-1023,Services
2024-06-01,AWS Cloud Services,-3065,Software
2024-06-01,GitHub Enterprise,-502,Software
2024-06-01,Atlassian Suite,-275,Software
2024-06-01,Slack Enterprise,-346,Software
2024-06-01,GSuite Business,-214,Software
2024-06-01,Analytics Platform,-593,Software
2024-06-01,CRM Software,-434,Software
2024-06-01,Design Software Licenses,-170,Software
2024-06-01,Coworking Space Rent,-2204,Rent
2024-07-01,AWS Cloud Services,-2938,Software
2024-07-01,GitHub Enterprise,-493,Software
2024-07-01,Atlassian Suite,-277,Software
2024-07-01,Slack Enterprise,-367,Software
2024-07-01,GSuite Business,-220,Software
2024-07-01,Analytics Platform,-565,Software
2024-07-01,CRM Software,-507,Software
2024-07-01,Design Software Licenses,-171,Software
2024-07-01,Coworking Space Rent,-2175,Rent
2024-08-01,AWS Cloud Services,-2792,Software
2024-08-01,GitHub Enterprise,-498,Software
2024-08-01,Atlassian Suite,-252,Software
2024-08-01,Slack Enterprise,-349,Software
2024-08-01,GSuite Business,-219,Software
2024-08-01,Analytics Platform,-643,Software
2024-08-01,CRM Software,-503,Software
2024-08-01,Design Software Licenses,-187,Software
2024-08-01,Coworking Space Rent,-2054,Rent
