date,description,amount,category
2024-04-17,Mortgage,-1396.1,Housing
2024-04-17,Expedia,-1806.16,Travel
2024-04-19,Live Nation,-29.82,Entertainment
2024-04-20,Ulta Beauty,-163.11,Shopping
2024-04-20,Home Warranty,-1921.27,Housing
2024-04-20,Microsoft 365,-38.12,Subscriptions
2024-04-20,Travelocity,-1027.61,Travel
2024-04-21,Travel Insurance,-1749.61,Travel
2024-04-22,Avis,-69.11,Transportation
2024-04-22,NordVPN,-17.18,Subscriptions
2024-04-22,Amazon Prime,-26.03,Subscriptions
2024-04-24,Trader Joe's,-194.03,Groceries
2024-04-25,Safeway,-151.72,Groceries
2024-04-25,Domino's Pizza,-30.35,Dining
2024-04-25,Taxi Service,-29.87,Transportation
2024-04-26,Wendy's,-36.74,Dining
2024-04-26,Chevron,-199.85,Transportation
2024-04-26,Patreon,-16.12,Subscriptions
2024-04-26,Airbnb,-1206.95,Travel
2024-04-26,Travelocity,-1512.35,Travel
2024-04-27,Netflix,-137.36,Entertainment
2024-04-27,Phone Bill,-107.4,Utilities
2024-04-27,American Airlines,-505.2,Travel
2024-04-28,Booking.com,-1954.17,Travel
2024-04-29,H-E-B,-55.44,Groceries
2024-04-29,Domino's Pizza,-10.75,Dining
2024-04-29,Chegg,-768.19,Education
2024-05-01,Peacock,-87.41,Entertainment
2024-05-02,Moving Service,-1480.54,Housing
2024-05-02,Southwest Airlines,-1383.85,Travel
2024-05-04,Netflix,-95.57,Entertainment
2024-05-04,Physical Therapy,-338.09,Healthcare
2024-05-04,Marriott,-250.3,Travel
2024-05-04,Travelocity,-570.31,Travel
2024-05-05,Trader Joe's,-165.69,Groceries
2024-05-05,Taco Bell,-72.64,Dining
2024-05-05,Hertz,-167.59,Transportation
2024-05-05,Gas Station,-109.35,Transportation
2024-05-06,Local Restaurant,-8.24,Dining
2024-05-07,Gap,-77.3,Shopping
2024-05-07,ConEd,-140.14,Utilities
2024-05-08,Regal Cinemas,-102.27,Entertainment
2024-05-09,Costco,-189.15,Groceries
2024-05-09,PG&E,-53.44,Utilities
2024-05-10,Home Insurance,-2871.77,Housing
2024-05-10,Cleaning Service,-1599.07,Housing
2024-05-10,Booking.com,-1502.73,Travel
2024-05-11,Panera Bread,-56.52,Dining
2024-05-12,Car Repair,-15.34,Transportation
2024-05-12,American Airlines,-1987.51,Travel
2024-05-13,Albertsons,-55.68,Groceries
2024-05-13,Wendy's,-51.63,Dining
2024-05-13,Car Repair,-208.75,Transportation
2024-05-14,Best Buy,-251.73,Shopping
2024-05-14,Paramount+,-91.65,Entertainment
2024-05-14,Expedia,-835.0,Travel
2024-05-15,Whole Foods,-82.34,Groceries
2024-05-15,Starbucks,-9.27,Dining
2024-05-17,Wegmans,-126.22,Groceries
2024-05-17,Pest Control,-3055.7,Housing
2024-05-17,Rent Payment,-1775.05,Housing
2024-05-19,Southwest Airlines,-1189.06,Travel
2024-05-20,Shell,-128.26,Transportation
2024-05-21,Lowe's,-299.91,Shopping
2024-05-21,Wayfair,-242.04,Shopping
2024-05-21,Home Depot,-208.61,Shopping
