date,description,amount,category
2024-04-17,Wall Street Journal,-6.16,Subscriptions
2024-04-18,Five Guys,-36.15,Dining
2024-04-18,Enterprise Rent-A-Car,-181.52,Transportation
2024-04-20,Save-A-Lot,-137.21,Groceries
2024-04-20,Ticketmaster,-88.41,Entertainment
2024-04-21,Nordstrom,-249.09,Shopping
2024-04-22,Starbucks,-48.72,Dining
2024-04-26,Kohl's,-30.41,Shopping
2024-04-27,Car Repair,-160.5,Transportation
2024-04-29,Five Guys,-63.18,Dining
2024-05-01,Trader Joe's,-179.8,Groceries
2024-05-01,Apple TV+,-118.03,Entertainment
2024-05-01,Educational Software,-585.13,Education
2024-05-02,Subway,-24.68,Dining
2024-05-02,LastPass,-29.46,Subscriptions
2024-05-10,Hobby Lobby,-245.12,Shopping
2024-05-11,Substack,-29.97,Subscriptions
2024-05-12,Food Lion,-93.8,Groceries
2024-05-12,Peacock,-103.09,Entertainment
2024-05-12,DirecTV,-270.28,Utilities
2024-05-15,Chipotle,-64.0,Dining
2024-05-15,Cox Communications,-280.22,Utilities
2024-05-21,Panera Bread,-16.36,Dining
2024-05-22,Olive Garden,-56.94,Dining
2024-05-25,Educational Software,-724.83,Education
2024-05-26,Wegmans,-178.63,Groceries
2024-05-27,Lyft,-220.35,Transportation
2024-05-28,Aldi,-173.25,Groceries
2024-06-01,Coursera,-228.99,Education
2024-06-04,Google One,-25.89,Subscriptions
2024-06-06,Wayfair,-252.23,Shopping
2024-06-07,ShopRite,-163.72,Groceries
2024-06-08,H-E-B,-70.99,Groceries
2024-06-08,Khan Academy,-377.23,Education
2024-06-09,Save-A-Lot,-181.6,Groceries
2024-06-12,Chipotle,-27.49,Dining
2024-06-15,Parking,-149.97,Transportation
2024-06-18,Steam,-65.26,Entertainment
2024-06-19,Panera Bread,-14.42,Dining
2024-06-21,Chegg,-909.25,Education
2024-06-22,Meijer,-196.59,Groceries
2024-06-22,Car Repair,-136.86,Transportation
2024-06-23,Aldi,-166.89,Groceries
2024-06-23,IKEA,-64.14,Shopping
2024-06-23,Comcast,-176.05,Utilities
2024-06-23,Xfinity,-148.71,Utilities
2024-06-26,Student Loans,-274.1,Education
2024-06-28,Storage Unit,-1459.83,Housing
2024-06-30,Chipotle,-14.31,Dining
2024-06-30,AT&T,-125.33,Utilities
2024-07-03,Local Restaurant,-44.88,Dining
2024-07-03,Ticketmaster,-131.18,Entertainment
2024-07-04,Comcast,-207.22,Utilities
2024-07-07,McDonald's,-39.42,Dining
2024-07-07,Shell,-127.15,Transportation
2024-07-10,McDonald's,-42.18,Dining
2024-07-10,Chick-fil-A,-23.87,Dining
2024-07-10,Public Transit,-76.17,Transportation
2024-07-13,eBay,-118.76,Shopping
2024-07-13,Toll Roads,-206.98,Transportation
2024-07-20,Student Loans,-391.14,Education
2024-07-21,Netflix,-28.55,Entertainment
2024-07-22,Starbucks,-67.13,Dining
2024-07-24,Walmart,-277.04,Shopping
2024-07-24,Textbooks,-882.49,Education
2024-07-25,Adobe Creative Cloud,-43.99,Subscriptions
2024-07-28,Substack,-47.31,Subscriptions
2024-07-30,Subway,-41.84,Dining
2024-07-30,Chegg,-413.39,Education
2024-07-31,Five Guys,-54.58,Dining
