date,description,amount,category
2024-04-17,Starbucks,-74.22,Dining
2024-04-17,Supplement Store,-136.5,Fitness
2024-04-18,Chick-fil-A,-29.22,Dining
2024-04-19,ShopRite,-142.23,Groceries
2024-04-19,Old Navy,-110.2,Shopping
2024-04-22,Concert Tickets,-92.57,Entertainment
2024-04-22,Chevron,-121.21,Transportation
2024-04-22,Student Loans,-996.33,Education
2024-04-24,Chegg,-677.31,Education
2024-04-25,Live Nation,-121.38,Entertainment
2024-04-25,Car Wash,-157.13,Transportation
2024-04-26,Newegg,-107.84,Shopping
2024-04-28,Olive Garden,-38.34,Dining
2024-04-28,Laboratory Services,-334.67,Healthcare
2024-04-28,VRBO,-1671.47,Travel
2024-04-29,Lyft,-130.7,Transportation
2024-04-30,ShopRite,-105.38,Groceries
2024-04-30,Wegmans,-106.27,Groceries
2024-04-30,H-E-B,-92.92,Groceries
2024-04-30,McGraw-Hill,-813.99,Education
2024-05-01,Home Insurance,-1892.37,Housing
2024-05-01,Vision Care,-473.74,Healthcare
2024-05-02,Save-A-Lot,-79.53,Groceries
2024-05-02,Tutoring Services,-845.02,Education
2024-05-03,Albertsons,-60.66,Groceries
2024-05-03,Olive Garden,-62.24,Dining
2024-05-03,Laboratory Services,-156.97,Healthcare
2024-05-03,Pharmacy,-417.99,Healthcare
2024-05-05,Starbucks,-64.1,Dining
2024-05-05,TJ Maxx,-137.8,Shopping
2024-05-05,Amazon Prime,-76.06,Entertainment
2024-05-05,Chevron,-207.95,Transportation
2024-05-05,Cleaning Service,-2792.12,Housing
2024-05-06,Enterprise Rent-A-Car,-226.97,Transportation
2024-05-06,Spectrum,-195.65,Utilities
2024-05-07,AMC Theaters,-104.58,Entertainment
2024-05-08,Pharmacy,-161.35,Healthcare
2024-05-09,Albertsons,-128.42,Groceries
2024-05-09,Shell,-164.14,Transportation
2024-05-10,Publix,-112.4,Groceries
2024-05-11,H-E-B,-156.74,Groceries
2024-05-11,Wayfair,-244.03,Shopping
2024-05-11,Amazon Prime,-46.82,Subscriptions
2024-05-12,Chick-fil-A,-36.27,Dining
2024-05-13,Michaels,-159.38,Shopping
2024-05-15,Paramount+,-65.24,Entertainment
2024-05-16,Food Lion,-44.63,Groceries
2024-05-16,Midas,-230.24,Transportation
2024-05-17,BP,-99.37,Transportation
2024-05-17,Comcast,-83.72,Utilities
2024-05-17,Doctor's Office,-357.63,Healthcare
2024-05-17,Cruise Line,-1241.78,Travel
2024-05-18,Food Lion,-153.27,Groceries
2024-05-18,Travelocity,-513.58,Travel
2024-05-19,Meijer,-138.01,Groceries
2024-05-20,Sprouts,-79.56,Groceries
2024-05-21,Dave & Buster's,-76.34,Entertainment
