date,description,amount,category
2024-04-20,Save-A-Lot,-24.1,Groceries
2024-04-25,Applebee's,-35.75,Dining
2024-04-27,Amtrak,-8.68,Transportation
2024-04-28,Educational Software,-880.12,Education
2024-04-28,Audible,-48.68,Subscriptions
2024-04-30,Local Restaurant,-40.1,Dining
2024-05-01,Midas,-161.79,Transportation
2024-05-02,Google One,-9.2,Subscriptions
2024-05-07,Avis,-9.46,Transportation
2024-05-08,Meijer,-197.63,Groceries
2024-05-08,Starbucks,-23.9,Dining
2024-05-12,Trader Joe's,-54.44,Groceries
2024-05-13,Trader Joe's,-34.51,Groceries
2024-05-13,Kroger,-82.41,Groceries
2024-05-16,Disney+,-127.83,Entertainment
2024-05-19,Medium,-17.64,Subscriptions
2024-05-20,KFC,-54.67,Dining
2024-05-25,Car Repair,-132.22,Transportation
2024-05-27,Rental Insurance,-2431.98,Housing
2024-05-27,Student Loans,-829.75,Education
2024-06-02,Chegg,-53.36,Education
2024-06-06,Domino's Pizza,-71.94,Dining
2024-06-07,Car Repair,-216.38,Transportation
2024-06-11,Panda Express,-46.0,Dining
2024-06-11,Local Restaurant,-61.19,Dining
2024-06-13,Taco Bell,-16.18,Dining
2024-06-13,Rent Payment,-1885.07,Housing
2024-06-14,Steam,-86.2,Entertainment
2024-06-15,Disney+,-141.19,Entertainment
2024-06-21,Marshalls,-81.52,Shopping
2024-06-22,Ulta Beauty,-263.91,Shopping
2024-06-23,Taxi Service,-47.21,Transportation
2024-06-24,Gap,-75.68,Shopping
2024-06-27,Trader Joe's,-123.89,Groceries
2024-06-29,Local Restaurant,-37.32,Dining
2024-07-03,Student Loans,-58.51,Education
2024-07-04,Publix,-193.88,Groceries
2024-07-04,Pizza Hut,-41.85,Dining
2024-07-04,Target,-151.48,Shopping
2024-07-04,Pep Boys,-103.31,Transportation
2024-07-05,Sephora,-111.74,Shopping
2024-07-05,Grammarly,-45.83,Subscriptions
2024-07-07,Costco,-178.27,Groceries
2024-07-08,Security Deposit,-830.99,Housing
2024-07-09,Dave & Buster's,-84.47,Entertainment
2024-07-14,Online Courses,-173.48,Education
2024-07-14,Textbooks,-452.14,Education
2024-07-16,PlayStation Plus,-13.96,Subscriptions
2024-07-19,Michaels,-236.63,Shopping
2024-07-24,Furniture Rental,-2071.09,Housing
2024-07-27,Applebee's,-15.59,Dining
2024-07-28,Taco Bell,-11.77,Dining
2024-07-28,Medium,-13.07,Subscriptions
2024-07-29,Online Courses,-476.37,Education
2024-08-01,Ulta Beauty,-100.4,Shopping
2024-08-02,Domino's Pizza,-34.59,Dining
2024-08-02,Regal Cinemas,-110.41,Entertainment
2024-08-04,Meijer,-57.84,Groceries
2024-08-08,H-E-B,-121.57,Groceries
2024-08-09,Meijer,-192.28,Groceries
2024-08-15,Avis,-149.34,Transportation
2024-08-17,Panera Bread,-57.2,Dining
2024-08-19,Rent Payment,-2765.63,Housing
2024-08-22,Enterprise Rent-A-Car,-76.63,Transportation
2024-08-22,MasterClass,-719.66,Education
2024-08-25,Pizza Hut,-11.01,Dining
2024-08-25,Comcast,-217.81,Utilities
