date,description,amount,category
2024-04-18,Meijer,-170.26,Groceries
2024-04-19,Educational Software,-866.68,Education
2024-04-20,Wendy's,-14.95,Dining
2024-04-21,Save-A-Lot,-194.74,Groceries
2024-04-21,Kroger,-109.12,Groceries
2024-04-22,Furniture Rental,-1341.52,Housing
2024-04-25,Sprouts,-122.96,Groceries
2024-04-28,H-E-B,-175.68,Groceries
2024-04-28,Doctor's Office,-128.31,Healthcare
2024-04-30,Albertsons,-75.9,Groceries
2024-05-01,Amazon,-256.73,Shopping
2024-05-01,Concert Tickets,-95.05,Entertainment
2024-05-02,Aldi,-49.8,Groceries
2024-05-02,Whole Foods,-165.19,Groceries
2024-05-04,Marshalls,-160.5,Shopping
2024-05-06,Wendy's,-53.87,Dining
2024-05-07,Skillshare,-521.87,Education
2024-05-07,edX,-517.05,Education
2024-05-08,Apple Store,-162.4,Shopping
2024-05-09,Lowe's,-16.6,Shopping
2024-05-09,UnitedHealthcare,-350.92,Healthcare
2024-05-10,Wendy's,-71.79,Dining
2024-05-13,Lawn Service,-2242.77,Housing
2024-05-14,Sprouts,-42.76,Groceries
2024-05-14,Comcast,-211.72,Utilities
2024-05-15,McDonald's,-45.21,Dining
2024-05-15,Hobby Lobby,-239.68,Shopping
2024-05-17,Hertz,-167.14,Transportation
2024-05-18,Panera Bread,-25.88,Dining
2024-05-19,Uber,-122.99,Transportation
2024-05-20,Meijer,-16.14,Groceries
2024-05-20,Midas,-163.87,Transportation
2024-05-20,Dropbox,-5.85,Subscriptions
2024-05-22,Rental Insurance,-3300.1,Housing
2024-05-23,T-Mobile,-207.29,Utilities
2024-05-24,Domino's Pizza,-9.75,Dining
2024-05-24,Home Insurance,-2980.58,Housing
2024-05-24,UnitedHealthcare,-229.38,Healthcare
2024-05-27,UnitedHealthcare,-196.43,Healthcare
2024-05-28,Movie Theater,-128.11,Entertainment
2024-05-29,Public Transit,-240.73,Transportation
2024-05-30,Food Lion,-67.64,Groceries
2024-05-30,Panera Bread,-17.65,Dining
2024-05-30,Hulu,-120.07,Entertainment
2024-05-30,Sports League Fees,-76.67,Fitness
2024-06-02,Macy's,-189.7,Shopping
2024-06-03,In-N-Out Burger,-68.64,Dining
2024-06-03,Taxi Service,-124.41,Transportation
2024-06-03,School Supplies,-740.7,Education
2024-06-06,edX,-407.31,Education
2024-06-11,Tidal,-46.17,Entertainment
2024-06-11,College Board,-245.63,Education
2024-06-15,Electric Company,-47.77,Utilities
2024-06-15,CVS,-357.46,Healthcare
2024-06-15,MasterClass,-666.29,Education
2024-06-16,Shell,-83.17,Transportation
2024-06-17,eBay,-147.18,Shopping
2024-06-18,Lululemon,-135.46,Fitness
2024-06-19,Save-A-Lot,-111.23,Groceries
2024-06-20,TJ Maxx,-252.65,Shopping
2024-06-21,Trader Joe's,-62.35,Groceries
2024-06-22,Lowe's,-90.71,Shopping
2024-06-22,Netflix,-11.24,Entertainment
2024-06-22,LastPass,-15.42,Subscriptions
2024-06-23,Albertsons,-199.4,Groceries
2024-06-23,Local Restaurant,-17.33,Dining
2024-06-23,Solar City,-167.78,Utilities
2024-06-23,Moving Service,-1135.12,Housing
2024-06-24,Food Lion,-130.09,Groceries
2024-06-24,Udemy,-112.85,Education
2024-06-24,Online Courses,-728.12,Education
