date,description,amount,category
2024-04-17,Chegg,-381.82,Education
2024-04-18,Xbox Game Pass,-22.22,Subscriptions
2024-04-19,Cox Communications,-62.24,Utilities
2024-04-20,Save-A-Lot,-89.63,Groceries
2024-04-20,Newegg,-64.94,Shopping
2024-04-20,Navient,-235.09,Debt Payments
2024-04-21,Subway,-51.29,Dining
2024-04-22,Sephora,-234.05,Shopping
2024-04-23,Lowe's,-137.04,Shopping
2024-04-23,Midas,-181.02,Transportation
2024-04-23,McGraw-Hill,-866.67,Education
2024-04-26,Nelnet,-972.68,Debt Payments
2024-04-27,Gap,-242.26,Shopping
2024-04-27,Gas Station,-230.49,Transportation
2024-04-28,Personal Loan Payment,-780.51,Debt Payments
2024-05-01,Dunkin' Donuts,-36.77,Dining
2024-05-02,Publix,-69.85,Groceries
2024-05-03,Chevron,-170.25,Transportation
2024-05-04,ShopRite,-53.74,Groceries
2024-05-05,Gas Station,-138.22,Transportation
2024-05-07,edX,-134.91,Education
2024-05-11,Student Loan Payment,-846.44,Debt Payments
2024-05-14,Home Warranty,-1126.39,Housing
2024-05-19,Hospital,-73.54,Healthcare
2024-05-21,Concert Tickets,-76.96,Entertainment
2024-05-24,Great Lakes,-664.76,Debt Payments
2024-05-26,Tuition Payment,-605.66,Education
2024-05-27,Capital One,-594.77,Debt Payments
2024-06-02,Trader Joe's,-196.94,Groceries
2024-06-03,Capital One,-385.72,Debt Payments
2024-06-05,Sephora,-155.83,Shopping
2024-06-05,Skillshare,-218.43,Education
2024-06-07,Walmart,-52.06,Shopping
2024-06-08,AutoZone,-68.04,Transportation
2024-06-08,Capital One,-340.59,Debt Payments
2024-06-13,Personal Loan Payment,-731.8,Debt Payments
2024-06-14,Parking,-245.4,Transportation
2024-06-15,DirecTV,-162.12,Utilities
2024-06-15,Nelnet,-832.34,Debt Payments
2024-06-16,Discover,-433.77,Debt Payments
2024-06-18,Khan Academy,-100.75,Education
2024-06-18,Debt Consolidation,-204.59,Debt Payments
2024-06-18,Wells Fargo,-156.94,Debt Payments
2024-06-18,Citibank,-790.2,Debt Payments
2024-06-21,AMC Theaters,-23.87,Entertainment
2024-06-21,Medical Debt Payment,-466.17,Debt Payments
2024-06-25,Urgent Care,-312.9,Healthcare
2024-06-26,Kroger,-141.17,Groceries
2024-06-26,Great Lakes,-910.63,Debt Payments
2024-06-27,Spectrum,-196.67,Utilities
2024-06-27,Capital One,-447.88,Debt Payments
2024-06-27,Mortgage Payment,-291.56,Debt Payments
2024-06-27,Line of Credit Payment,-895.73,Debt Payments
2024-06-28,Concert Tickets,-44.25,Entertainment
2024-07-02,Local Restaurant,-59.79,Dining
2024-07-02,Sephora,-218.33,Shopping
2024-07-04,Discover,-620.02,Debt Payments
2024-07-05,KFC,-42.14,Dining
2024-07-05,Personal Loan Payment,-266.32,Debt Payments
2024-07-06,Student Loan Payment,-145.62,Debt Payments
2024-07-06,Bank of America,-688.7,Debt Payments
2024-07-07,Dropbox,-34.05,Subscriptions
2024-07-09,Bank of America,-238.52,Debt Payments
2024-07-10,Mortgage,-1309.67,Housing
2024-07-11,McDonald's,-13.73,Dining
2024-07-13,Cox Communications,-289.12,Utilities
2024-07-14,Debt Consolidation,-246.45,Debt Payments
2024-07-17,Car Loan Payment,-342.33,Debt Payments
2024-07-20,H-E-B,-169.18,Groceries
2024-07-22,Medical Debt Payment,-640.58,Debt Payments
2024-07-23,Save-A-Lot,-38.38,Groceries
2024-07-23,Mortgage Payment,-304.93,Debt Payments
2024-07-23,Credit Card Payment,-427.2,Debt Payments
2024-07-25,Bank of America,-649.73,Debt Payments
2024-07-29,Save-A-Lot,-166.95,Groceries
2024-07-29,Subway,-33.88,Dining
2024-07-29,Skillshare,-306.13,Education
2024-07-30,Credit Card Payment,-981.87,Debt Payments
2024-08-01,Car Loan Payment,-134.78,Debt Payments
2024-08-01,Citibank,-427.2,Debt Payments
2024-08-04,Sprouts,-192.19,Groceries
2024-08-06,Chevron,-72.75,Transportation
2024-08-09,Target,-97.19,Shopping
