date,description,amount,category
2024-04-30,Travel Insurance,-809.4,Travel
2024-05-08,Hotels.com,-1028.15,Travel
2024-05-18,Waste Management,-58.63,Utilities
2024-05-21,Internet Provider,-224.18,Utilities
2024-06-07,Gas Bill,-227.07,Utilities
2024-06-09,Delta Airlines,-156.29,Travel
2024-06-10,Marriott,-1492.08,Travel
2024-06-20,Vacation Rental,-1155.32,Travel
2024-06-28,Marriott,-881.46,Travel
2024-07-02,Hilton,-640.07,Travel
2024-07-03,Vacation Rental,-1369.41,Travel
2024-07-04,Internet Provider,-43.61,Utilities
2024-07-11,Southwest Airlines,-1662.89,Travel
2024-07-13,Electric Company,-195.04,Utilities
2024-07-23,Southwest Airlines,-126.12,Travel
2024-07-27,Xfinity,-118.46,Utilities
2024-08-10,Kayak,-500.89,Travel
2024-09-19,Delta Airlines,-167.19,Travel
2024-09-24,Booking.com,-1167.91,Travel
2024-10-14,Xfinity,-150.14,Utilities
2024-10-31,Duke Energy,-171.62,Utilities
2024-11-01,Solar City,-281.32,Utilities
2024-11-12,Electric Company,-187.79,Utilities
2024-11-15,PG&E,-268.82,Utilities
2024-11-16,Vacation Rental,-1550.14,Travel
2024-11-17,AT&T,-228.11,Utilities
2024-11-29,Cruise Line,-1969.08,Travel
2024-12-06,Travelocity,-1150.02,Travel
2024-12-24,Comcast,-65.4,Utilities
2024-12-30,Verizon,-295.43,Utilities
2025-01-08,Expedia,-901.5,Travel
2025-01-14,American Airlines,-345.6,Travel
2025-01-20,Kayak,-1084.04,Travel
2025-01-21,Cruise Line,-690.33,Travel
2025-01-24,Spectrum,-172.03,Utilities
2025-01-24,American Airlines,-243.52,Travel
2025-02-09,American Airlines,-807.21,Travel
2025-03-06,AT&T,-153.21,Utilities
2025-03-14,Travel Agency,-1533.21,Travel
2025-03-14,Expedia,-1310.01,Travel
2025-04-02,Resort Fees,-1827.74,Travel
2025-04-06,AT&T,-74.8,Utilities
2025-04-11,Transfer to Savings,-0.0,Savings
2024-08-15,Angel Investment,170947,Funding
2024-04-15,Tech Team Payroll,-20175,Payroll
2024-05-15,Tech Team Payroll,-20403,Payroll
2024-06-15,Tech Team Payroll,-20904,Payroll
2024-07-15,Tech Team Payroll,-22069,Payroll
2024-08-15,Tech Team Payroll,-20288,Payroll
2024-09-15,Tech Team Payroll,-19081,Payroll
2024-10-15,Tech Team Payroll,-20755,Payroll
2024-11-15,Tech Team Payroll,-21277,Payroll
2024-12-15,Tech Team Payroll,-23209,Payroll
2025-01-15,Tech Team Payroll,-23564,Payroll
2025-02-15,Tech Team Payroll,-22557,Payroll
2025-03-15,Tech Team Payroll,-19934,Payroll
2024-05-01,AWS Cloud Services,-1940,Software
2024-05-01,GitHub Enterprise,-412,Software
2024-05-01,Atlassian Suite,-274,Software
2024-05-01,Slack Enterprise,-161,Software
2024-05-01,GSuite Business,-143,Software
2024-05-01,Analytics Platform,-764,Software
2024-05-01,CRM Software,-359,Software
2024-05-01,Design Software Licenses,-344,Software
2024-05-01,Coworking Space Rent,-3509,Rent
2024-05-01,Legal Services,-2698,Legal
2024-05-01,Digital Marketing Campaign,-3683,Marketing
2024-05-01,Recruitment Services,-2461,Services
2024-06-01,AWS Cloud Services,-1902,Software
2024-06-01,GitHub Enterprise,-356,Software
2024-06-01,Atlassian Suite,-283,Software
2024-06-01,Slack Enterprise,-151,Software
2024-06-01,GSuite Business,-158,Software
2024-06-01,Analytics Platform,-698,Software
2024-06-01,CRM Software,-323,Software
2024-06-01,Design Software Licenses,-323,Software
2024-06-01,Coworking Space Rent,-3026,Rent
2024-07-01,AWS Cloud Services,-1742,Software
2024-07-01,GitHub Enterprise,-417,Software
2024-07-01,Atlassian Suite,-252,Software
2024-07-01,Slack Enterprise,-163,Software
2024-07-01,GSuite Business,-167,Software
2024-07-01,Analytics Platform,-680,Software
2024-07-01,CRM Software,-373,Software
2024-07-01,Design Software Licenses,-341,Software
2024-07-01,Coworking Space Rent,-3430,Rent
2024-08-01,AWS Cloud Services,-1925,Software
2024-08-01,GitHub Enterprise,-355,Software
2024-08-01,Atlassian Suite,-263,Software
2024-08-01,Slack Enterprise,-147,Software
2024-08-01,GSuite Business,-166,Software
2024-08-01,Analytics Platform,-753,Software
2024-08-01,CRM Software,-371,Software
2024-08-01,Design Software Licenses,-348,Software
2024-08-01,Coworking Space Rent,-3312,Rent
2024-08-01,Legal Services,-2744,Legal
2024-08-01,Digital Marketing Campaign,-3795,Marketing
2024-08-01,Recruitment Services,-2593,Services
2024-09-01,AWS Cloud Services,-1636,Software
2024-09-01,GitHub Enterprise,-417,Software
2024-09-01,Atlassian Suite,-255,Software
